NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
NAME,1.2.2,1.2.3_02,1.2.2,1.2.3_02
AxisAlignedBB,cn,cn,dt,du,Axis aligned bounding box
Block,nl,no,fy,ga,Base class and manager for block types
BlockBloodStone,pw,pz,jf,ji,*
BlockBookshelf,ef,eg,ga,gc,*
BlockBreakable,fv,fx,ht,hw,Base class for glass and ice (not used directly)
BlockButton,iv,ix,ap,ap,*
BlockCactus,jb,jd,as,as,*
BlockChest,c,c,c,c,*
BlockClay,le,lh,dh,di,*
BlockContainer,lc,lf,de,df,Base class for block that can have content (not used directly)
BlockCrops,id,if,n,n,*
BlockDirt,jc,je,at,at,*
BlockDoor,gs,gu,jg,jj,Block used for wooden door and iron door
BlockFence,ga,gc,ia,id,*
BlockFire,qc,qf,jo,jr,*
BlockFlower,of,oi,hi,hk,*
BlockFlowing,ix,iz,ar,ar,Block used for flowing water and lava
BlockFluids,ky,lb,cy,cz,Base class for fluids (not used directly)
BlockFurnace,me,mh,ei,ek,*
BlockGlass,dc,dd,es,eu,*
BlockGrass,on,oq,hu,hx,*
BlockGravel,hz,ib,k,k,*
BlockIce,ie,ig,o,o,*
BlockJukeBox,de,df,ew,ey,*
BlockLadder,bz,bz,cz,da,*
BlockLeaves,ki,kl,cd,ce,*
BlockLeavesBase,ii,ik,r,r,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
BlockLever,pg,pj,ir,iu,*
BlockLightStone,hh,hj,kd,kg,*
BlockLog,nt,nw,go,gq,*
BlockMinecartTrack,jj,jm,ba,bb,*
BlockMobSpawner,br,br,cm,cn,*
BlockMushroom,mm,mp,ex,ez,*
BlockObsidian,cu,cv,el,en,*
BlockOre,hw,hy,h,h,"Block used for gold, iron, diamond and coal"
BlockOreBlock,e,e,j,j,"Block used for gold, diamond and iron blocks"
BlockPortal,x,x,ai,ai,*
BlockPressurePlate,ap,ap,bd,be,*
BlockPumpkin,cv,cw,ek,em,*
BlockRedstoneOre,an,an,bb,bc,*
BlockRedstoneTorch,bo,bo,ck,cl,*
BlockRedstoneWire,lp,ls,du,dv,*
BlockReed,kv,ky,cs,ct,*
BlockSand,du,dv,fr,ft,*
BlockSapling,eh,ei,gd,gf,*
BlockSign,nd,ng,ft,fv,Block used for standing signs and wall signs
BlockSlowSand,iq,is,ac,ac,*
BlockSnow,fw,fy,hw,hz,*
BlockSnowBlock,s,s,x,x,*
BlockSoil,nv,ny,gt,gv,*
BlockSponge,oy,pb,ii,il,*
BlockStairs,lw,lz,eb,ec,*
BlockStationary,io,iq,z,z,Block used for stationary water and lava
BlockStep,qe,qh,js,jv,Block used for half step and double step
BlockStone,cm,cm,dr,ds,*
BlockTNT,v,v,ab,ab,*
BlockTorch,nw,nz,gw,gy,*
BlockWorkbench,db,dc,er,et,*
CanvasCrashReport,or,ou,*,*,*
CanvasIsomPreview,ah,ah,*,*,Canvas used for drawing the isometric preview
CanvasMajongLogo,dm,dn,*,*,*
CanvasMinecraftApplet,j,j,*,*,*
Packet8,*,cp,*,ed,*
Packet38,*,fr,*,ho,*
Packet9,*,jj,*,az,*
ChatLine,ly,mc,*,*,*
Chunk,gx,gz,jp,js,Chunk of blocks in the world (16x16x128 blocks)
ChunkCache,cq,cr,ee,eg,Caches a bunch of chunks of the world
ChunkCoordinates,ic,ie,ju,jx,*
ChunkCoordIntPair,qh,qk,kc,kf,"Pair of integers used as index of chunk (x,z)."
ChunkLoader,mp,ms,ff,fh,Implementation of chunk loader
ChunkPosition,oi,ol,hn,hq,*
ChunkProviderClient,nm,np,*,*,Chunk provider which loads chunks from the server
ChunkProviderGenerate,ps,pv,ja,jd,Chunk provider which generates new chunks (used by other chunk providers)
ChunkProviderHell,kf,ki,bx,by,*
ChunkProviderIso,cs,ct,*,*,Chunk provider for iso preview client
ChunkProviderLoadOrGenerate,gp,gr,iw,iz,Chunk provider which either loads chunks or generates them with ChunkProviderGenerate
ChunkProviderServer,*,*,jl,jo,Chunk provider which manages chunks on the server for all clients
ClippingHelper,cb,cb,*,*,*
ClippingHelperImplementation,n,n,*,*,*
CodecMus,fh,fi,*,*,Audio codec for .mus files.
