NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
ScaledResolution,*,field_1369_c,*,*,*,scaledHeight,"*"
ScaledResolution,*,field_1368_a,*,*,*,scaleFactor,"*"
ScaledResolution,*,field_1367_b,*,*,*,scaledWidth,"*"
NextTickListEntry,*,field_1366_c,*,*,*,zCoord,"Z position this tick is occuring at"
NextTickListEntry,*,field_1365_d,*,*,*,blockID,"blockID of the scheduled tick (ensures when the tick occurs its still for this block)"
NextTickListEntry,*,field_1364_e,*,*,*,scheduledTime,"Time this tick is scheduled to occur at"
NextTickListEntry,*,field_1363_f,*,*,*,nextTickEntryID,"The id number for the next tick entry"
NextTickListEntry,*,field_1362_g,*,*,*,tickEntryID,"The id of the tick entry"
NextTickListEntry,*,field_1361_a,*,*,*,xCoord,"X position this tick is occuring at"
NextTickListEntry,*,field_1360_b,*,*,*,yCoord,"Y position this tick is occuring at"
Block,*,field_4049_be,*,*,*,lightStone,"*"
GameSettings,*,field_1561_w,*,*,*,difficulty,"*"
GameSettings,*,field_1560_x,*,*,*,thirdPersonView,"*"
GameSettings,*,field_1563_u,*,*,*,mc,"*"
GameSettings,*,field_1562_v,*,*,*,numberOfOptions,"I believe this is used to correctly line up the buttons in the menu."
Block,*,field_4045_bg,*,*,*,pumpkinLantern,"The Jack-O-Lantern"
GameSettings,*,field_1564_t,*,*,*,keyBindings,"*"
Block,*,field_4047_bf,*,*,*,portal,"The purple teleport blocks inside the obsidian circle"
WorldChunkManager,*,field_4198_a,*,*,*,temperature,"Temperature that has been loaded into the WorldChunkManager"
WorldChunkManager,*,field_4197_b,*,*,*,humidity,"How humid the area thats has been loaded"
Block,*,field_447_aA,*,*,*,crops,"*"
GameSettings,*,field_1565_s,*,*,*,keyBindSneak,"*"
EntityPlayer,*,field_778_b,*,*,*,inventory,"Inventory of the player"
Minecraft,*,field_6297_D,*,*,*,mcDataDir,""
Minecraft,*,field_6292_I,*,*,*,debug,"String that shows the debug information"
Minecraft,*,field_6293_H,*,*,*,running,"Set to true to keep the game loop running. Set to false by shutdown() to allow the game loop to exit cleanly."
Minecraft,*,field_6290_K,*,*,*,prevFrameTime,""
Minecraft,*,field_6291_J,*,*,*,isTakingScreenshot,"Makes sure it doesn't keep taking screenshots when both buttons are down."
Minecraft,*,field_6298_C,*,*,*,texturePackList,"The TexturePackLister used by this instance of Minecraft..."
Minecraft,*,field_6299_B,*,*,*,mouseHelper,"Mouse helper instance."
Block,*,field_372_be,*,*,*,blockResistance,"Indicates the blocks resistance to explosions."
Block,*,field_370_bf,*,*,*,minX,"minimum X for the block bounds (local coordinates)"
Block,*,field_376_bc,*,*,*,blockID,"ID of the block."
Block,*,field_374_bd,*,*,*,blockHardness,"Indicates how many hits it takes to break a block."
Block,*,field_378_bb,*,*,*,blockIndexInTexture,"The index of the texture to be displayed for this block. May vary based on graphics settings. Mostly seems to come from terrain.png, and the index is 0-based (grass is 0)."
RenderPainting,*,field_199_d,*,*,*,rand,"RNG."
Render,*,field_191_a,*,*,*,renderManager,"*"
Render,*,field_195_d,*,*,*,unusedModelBiped,"*"
Packet6SpawnPosition,*,field_516_c,*,*,*,zPosition,"Z coordinate of spawn."
Packet3Chat,*,field_517_a,*,*,*,message,"The message being sent."
Packet6SpawnPosition,*,field_514_b,*,*,*,yPosition,"Y coordinate of spawn."
Packet6SpawnPosition,*,field_515_a,*,*,*,xPosition,"X coordinate of spawn."
Packet34EntityTeleport,*,field_512_d,*,*,*,zPosition,"Z position of the entity."
Packet34EntityTeleport,*,field_513_c,*,*,*,yPosition,"Y position of the entity."
Packet34EntityTeleport,*,field_510_f,*,*,*,pitch,"Pitch of the entity."
Packet34EntityTeleport,*,field_511_e,*,*,*,yaw,"Yaw of the entity."
Packet1Login,*,field_518_b,*,*,*,username,"The name of the user attempting to login."
Packet1Login,*,field_519_a,*,*,*,protocolVersion,"The protocol version in use. Current version is 2."
GuiConnectFailed,*,field_992_a,*,*,*,errorMessage,"The error message."
GuiConnectFailed,*,field_993_h,*,*,*,errorDetail,"The details about the error."
GuiMainMenu,*,field_990_i,*,*,*,logoEffects,"*"
GuiOptions,*,field_996_h,*,*,*,parentScreen,"A reference to the screen object that created this. Used for navigating between screens."
GuiUnused,*,field_997_a,*,*,*,message1,"Unused class. Would contain a message drawn to the center of the screen."
GuiOptions,*,field_994_a,*,*,*,screenTitle,"The title string that is displayed in the top-center of the screen."
GuiOptions,*,field_995_i,*,*,*,options,"Reference to the GameSettings object."
GuiUnused,*,field_998_h,*,*,*,message2,"Unused class. Would contain a message drawn to the center of the screen."
GuiEditSign,*,field_999_a,*,*,*,screenTitle,"The title string that is displayed in the top-center of the screen."
GameSettings,*,field_1571_n,*,*,*,keyBindJump,"*"
Render,*,field_203_d,*,*,*,unusedRenderBlocks,"*"
RenderItem,*,field_200_e,*,*,*,random,"The RNG used in RenderItem (for bobbing itemstacks on the ground)"
RenderItem,*,field_201_d,*,*,*,renderBlocks,"*"
RenderPlayer,*,field_206_i,*,*,*,armorFilenamePrefix,"*"
RenderSlime,*,field_205_f,*,*,*,scaleAmount,""
RenderBlocks,*,field_1774_c,*,*,*,flipTexture,"Set to true if the texture should be flipped horizontally during render*Face"
Vec3D,*,field_1775_b,*,*,*,yCoord,"Y coordinate of Vec3D"
Vec3D,*,field_1776_a,*,*,*,xCoord,"X coordinate of Vec3D"
Vec3D,*,field_1777_e,*,*,*,nextVector,"Next empty index in the vectorList. We don't ever seem to remove vectors from the list, however."
OpenGlCapsChecker,*,field_1770_a,*,*,*,tryCheckOcclusionCapable,"Whether or not we should try to check occlusion - defaults to false and is never changed in 1.2.2."
RenderBlocks,*,field_1771_b,*,*,*,overrideBlockTexture,"If set to >=0, all block faces will be rendered using this texture index"
RenderBlocks,*,field_1772_a,*,*,*,blockAccess,"The IBlockAccess used by this instance of RenderBlocks"
RenderBlocks,*,field_1773_d,*,*,*,renderAllFaces,"If true, renders all faces on all blocks rather than using the logic in Block.shouldSideBeRendered.  Unused."
Vec3D,*,field_1778_d,*,*,*,vectorList,"ArrayList of all created vectors"
Vec3D,*,field_1779_c,*,*,*,zCoord,"Z coordinate of Vec3D"
MovementInputFromOptions,*,field_1178_g,*,*,*,gameSettings,"*"
MovementInputFromOptions,*,field_1179_f,*,*,*,movementKeyStates,"*"
MovementInput,*,field_1176_d,*,*,*,jump,"*"
MovementInput,*,field_1174_a,*,*,*,moveStrafe,"The speed at which the player is strafing. Postive numbers to the left and negative to the right."
MovementInput,*,field_1175_e,*,*,*,sneak,"*"
MovingObjectPosition,*,field_1172_c,*,*,*,blockY,"y coordinate of the block ray traced against"
MovementInput,*,field_1173_b,*,*,*,moveForward,"The speed at which the player is moving forward. Negative numbers will move backwards."
MovingObjectPosition,*,field_1170_e,*,*,*,sideHit,"Which side was hit. If its -1 then it went the full length of the ray trace."
MovingObjectPosition,*,field_1171_d,*,*,*,blockZ,"z coordinate of the block ray traced against"
EntityPlayer,*,field_9369_j,*,*,*,isSwinging,"Whether the player is swinging the current item in their hand."
EntityPlayer,*,field_9368_k,*,*,*,swingProgressInt,"*"
ModelRenderer,*,field_1396_o,*,*,*,displayList,"The GL display list rendered by the Tessellator for this model"
ModelRenderer,*,field_1397_n,*,*,*,compiled,"*"
EntityRenderer,*,field_1395_a,*,*,*,itemRenderer,""
GuiEditSign,*,field_1002_h,*,*,*,entitySign,"Reference to the sign object."
LoadingScreenRenderer,*,field_1003_b,*,*,*,mc,"A reference to the Minecraft object."
GuiEditSign,*,field_1000_j,*,*,*,editLine,"The number of the line that is being edited."
GameSettings,*,field_1558_z,*,*,*,DIFFICULTY_LEVELS,"Constant containing an array of the possible difficulty levels."
GameSettings,*,field_1559_y,*,*,*,RENDER_DISTANCES,"Constant containing an array of the possible view distances."
Path,*,field_1555_b,*,*,*,count,"The number of points in this path"
RedstoneUpdateInfo,*,field_1008_b,*,*,*,y,"*"
RedstoneUpdateInfo,*,field_1009_a,*,*,*,x,"*"
TileEntityRenderer,*,field_1550_e,*,*,*,renderEngine,"The RenderEngine instance used by the TileEntityRenderer"
TileEntityRenderer,*,field_1551_d,*,*,*,staticPlayerZ,"The player's current Z position (same as playerZ)"
TileEntityRenderer,*,field_1552_c,*,*,*,staticPlayerY,"The player's current Y position (same as playerY)"
TileEntityRenderer,*,field_1553_b,*,*,*,staticPlayerX,"The player's current X position (same as playerX)"
Tessellator,*,field_1488_w,*,*,*,isDrawing,"Whether this tessellator is currently in draw mode."
Tessellator,*,field_1489_v,*,*,*,normal,"The normal to be applied to the face being drawn."
Tessellator,*,field_1486_y,*,*,*,vertexBuffers,"An IntBuffer used to store the indices of vertex buffer objects."
Tessellator,*,field_1487_x,*,*,*,useVBO,"Whether we are currently using VBO or not."
Tessellator,*,field_1485_z,*,*,*,vboIndex,"The index of the last VBO used. This is used in round-robin fashion, sequentially, through the vboCount vertex buffers."
AxisAlignedBB,*,field_1697_b,*,*,*,minY,"*"
World,*,field_1026_y,*,*,*,multiplayerWorld,"Set to true if this is a multiplayer world, false otherwise."
EntityCreature,*,field_749_a,*,*,*,pathToEntity,"*"
Minecraft,*,field_6284_Q,*,*,*,downloadResourcesThread,"Reference to the download resources thread."
Minecraft,*,field_6287_N,*,*,*,systemTime,""
Minecraft,*,field_6286_O,*,*,*,glCapabilities,"Checks OpenGL capabilities (as of 1.2.3_04 effectively unused)."
Minecraft,*,field_6283_R,*,*,*,ticksRan,"Number of ticks ran since the program was started."
Minecraft,*,field_6288_M,*,*,*,isFancyGraphics,""
BlockLeavesBase,*,field_6359_a,*,*,*,graphicsLevel,"Used to determine how to display leaves based on the graphics level. May also be used in rendering for transparency, not sure."
Block,*,field_345_n,*,*,*,blocksList,"List of ly/ff (BlockType) containing the already registered blocks."
Block,*,field_344_o,*,*,*,tickOnLoad,"List of whether this blockType will run its tick on loading or not"
Block,*,field_343_p,*,*,*,opaqueCubeLookup,"An array of 256 booleans corresponding to the result of the isOpaqueCube() method for each block ID"
Block,*,field_342_q,*,*,*,isBlockContainer,"Can this block be type casted to a BlockContainer (list indexed on blockIDs)"
Block,*,field_341_r,*,*,*,lightOpacity,"How much light is subtracted for going through this block"
Block,*,field_340_s,*,*,*,unusedBooleanArray,"*"
Packet21PickupSpawn,*,field_529_c,*,*,*,yPosition,"The item Y position."
Packet21PickupSpawn,*,field_528_d,*,*,*,zPosition,"The item Z position."
Packet21PickupSpawn,*,field_523_i,*,*,*,count,"The number of items."
Packet18ArmAnimation,*,field_522_a,*,*,*,entityId,"The entity ID, in this case it's the player ID."
Packet18ArmAnimation,*,field_521_b,*,*,*,animate,"*"
Packet1Login,*,field_520_c,*,*,*,password,"Used to login to password-protected servers."
Packet21PickupSpawn,*,field_527_e,*,*,*,rotation,"The item rotation."
Packet21PickupSpawn,*,field_526_f,*,*,*,pitch,"The item pitch."
Packet21PickupSpawn,*,field_525_g,*,*,*,roll,"The item roll."
Packet21PickupSpawn,*,field_524_h,*,*,*,itemId,"The item ID."
Tessellator,*,field_1510_c,*,*,*,tryVBO,"Boolean used to check if we should use vertex buffers. Initialized to false and never changed."
Item,*,field_4031_aC,*,*,*,boat,"*"
MusInputStream,*,field_1516_c,*,*,*,hash,"*"
SlotInventory,*,field_1121_e,*,*,*,xPos,"Left border of the slot in pixel from the left border of the window."
SlotInventory,*,field_1120_f,*,*,*,yPos,"Upper border of the slot in pixel from the upper border of the window."
SlotInventory,*,field_1122_c,*,*,*,guiHandler,"Instance of ee used to handle all gui interactions."
Item,*,field_239_V,*,*,*,legsLeather,"*"
Item,*,field_238_W,*,*,*,bootsLeather,"*"
Item,*,field_237_X,*,*,*,helmetChain,"*"
Item,*,field_236_Y,*,*,*,plateChain,"*"
Item,*,field_235_Z,*,*,*,legsChain,"*"
Item,*,field_233_c,*,*,*,itemsList,"A 32000 elements Item array."
Item,*,field_232_d,*,*,*,shovelSteel,"*"
Item,*,field_231_e,*,*,*,pickaxeSteel,"*"
Item,*,field_230_f,*,*,*,axeSteel,"*"
ClippingHelperImplementation,*,field_1694_e,*,*,*,instance,"*"
InventoryCrafting,*,field_839_b,*,*,*,nbrSlots,"Number of crafting slots."
InventoryLargeChest,*,field_838_c,*,*,*,lowerChest,"Inventory object corresponding to double chest lower part"
TileEntityFurnace,*,field_833_a,*,*,*,furnaceItemStacks,"The ItemStacks that hold the items currently being used in the furnace"
TileEntityFurnace,*,field_832_b,*,*,*,furnaceBurnTime,"The number of ticks that the furnace will keep burning"
