Real Name,MCP Name,Real Superclass,MiddleCraft Superclass,Description
a,Packet7,jv,*,Use Entity
aa,CraftingInventoryPlayerCB,dw,*,"Callbacks for the player inventory. (As a side note, methods here are made for a 9 slots matrix, not 4, must be a left over from a previous version before the workbenches)"
ab,BlockSnowBlock,gv,*,*
ac,ServerWindowAdapter,java.awt.event.WindowAdapter,*,*
ad,NBTTagCompound,ia,*,*
ae,ServerGuiCommandListener,java.lang.Object,*,*
af,BlockStationary,dn,*,Block used for stationary water and lava
ag,ServerGuiFocusAdapter,java.awt.event.FocusAdapter,*,*
ah,BlockTNT,gv,*,*
ai,BlockSlowSand,gv,*,*
aj,Packet1Login,jv,*,*
ak,Packet11PlayerPosition,hy,*,*
al,IAnimals,java.lang.Object,*,Interface for animals (empty interface)
am,StepSoundSand,cp,*,client side refers to gravel
an,StepSoundStone,cp,*,client side refers to glass
ao,BlockPortal,ix,*,*
ap,PlayerInstance,java.lang.Object,*,An instance of a connected player
aq,RecipesFood,java.lang.Object,*,*
ar,NoiseGeneratorPerlin,db,*,Perlin noise generator
as,MaterialLogic,la,*,"Material for objects with some kind of logik (growers, redstone circuits, ...)"
at,ServerCommand,java.lang.Object,*,Holds the server command and a reference to the command handler
au,CompressedStreamTools,java.lang.Object,*,"Provides function to read and write gzipped streams, also used to compress NBT compounds"
av,InventoryLargeChest,java.lang.Object,*,*
aw,BlockButton,gv,*,*
ax,ItemPickaxe,dq,*,*
ay,Packet106,jv,*,Transaction
az,*,dn,*,*
b,PathPoint,java.lang.Object,*,A point on a path used for pathfinding
ba,BlockCactus,gv,*,*
bb,ItemBucket,gm,*,*
bc,BlockDirt,gv,*,*
bd,IChunkLoader,java.lang.Object,*,Interface for chunk loaders
be,WorldGenFlowers,bt,*,Generates flowers and mushrooms
bf,EntityAnimals,hz,*,Base class for animals
bg,TileEntity,java.lang.Object,*,*
bh,Packet9,jv,*,Respawn
bi,*,w,*,*
bj,CraftingInventoryFurnaceCB,dw,*,*
bk,*,iz,*,*
bl,BlockMinecartTrack,gv,*,*
bm,BlockRedstoneOre,gv,*,*
bn,Vec3D,java.lang.Object,*,"A Vector consisting of 3 doubles, with helper functions. Name Vec to avoid clash with java.lang.Vector"
bo,BlockPressurePlate,gv,*,*
bp,EntityCow,bf,*,Animal cow
bq,EntitySnowball,ep,*,Snowball
br,Packet3Chat,jv,*,*
bs,NetworkManager,java.lang.Object,*,*
bt,WorldGenerator,java.lang.Object,*,Base class for world generators
bu,ItemSoup,lh,*,*
bv,MapGenCavesHell,java.lang.Object,*,*
bw,IWorldAccess,java.lang.Object,*,*
bx,CraftingInventoryChestCB,dw,*,*
by,NoiseGenerator2,java.lang.Object,*,Don't have proper name for it yet
bz,NBTTagInt,ia,*,*
c,BlockChest,du,*,*
ca,EntityFireball,java.lang.Object,*,Ghast fireball
cb,SlotArmor,gp,*,Inventory slot used for the 4 equip slots for armor.
cc,*,gj,*,*
cd,WorldGenHellLava,java.lang.Object,*,*
ce,ItemSword,gm,*,*
cf,ItemBlock,gm,*,*
cg,IChunkProvider,java.lang.Object,*,Interface for chunk providers
ch,EntitySpider,gu,*,Mob spider
ci,SpawnerAnimals,java.lang.Object,*,"Used to spawn creatures near to players. There are two instances, one which spawns animals and one (of the subclass) that spawns monsters."
cj,ThreadServerApplication,java.lang.Thread,*,Main thread of the server application
ck,ChunkProviderHell,java.lang.Object,*,*
cl,ThreadCommandReader,java.lang.Thread,*,Get input from commandline
cm,NBTTagByte,ia,*,*
cn,ThreadSleepForever,java.lang.Thread,*,*
co,ItemFishingRod,gm,*,*
cp,StepSound,java.lang.Object,*,Sound type when walking on a block type
cq,TileEntityMobSpawner,bg,*,*
cr,HashEntry2,java.lang.Object,*,*
cs,Packet102,jv,*,Window click
ct,EntityPainting,ep,*,Entity Painting
cu,BlockRedstoneTorch,hv,*,*
cv,NextTickListEntry,java.lang.Object,*,*
cw,Explosion,java.lang.Object,*,*
cx,EntityTNTPrimed,ep,*,Entity Primed TNT
cy,*,du,*,*
cz,ItemBow,gm,*,*
d,Packet20NamedEntitySpawn,jv,*,*
da,Packet6SpawnPosition,jv,*,*
db,NoiseGenerator,java.lang.Object,*,Base class for noise generators
dc,PathEntity,java.lang.Object,*,Result of the pathfinder processing; used to make an Entity follow a path
dd,Packet34EntityTeleport,jv,*,*
de,Packet22Collect,jv,*,*
df,BlockReed,gv,*,*
dg,WorldGenLakes,bt,*,*
dh,EntitySheep,bf,*,Animal sheep
di,ItemSeeds,gm,*,*
dj,ItemSnowball,gm,*,*
dk,ItemMinecart,gm,*,*
dl,Packet60,jv,*,Explosion
dm,PlayerNBTManager,java.lang.Object,*,*
dn,BlockFluids,gv,*,Base class for fluids (not used directly)
do,BlockLadder,gv,*,*
dp,GuiLogOutputHandler,java.util.logging.Handler,*,*
dq,ItemTool,gm,*,*
dr,CraftingRecipe,java.lang.Object,*,A parsed crafting recipe description
ds,EnumMobType,java.lang.Enum,*,"enum with everything, mobs and player"
dt,PropertyManager,java.lang.Object,*,*
du,BlockContainer,gv,*,Base class for block that can have content (not used directly)
dv,Packet29DestroyEntity,jv,*,*
dw,CraftingInventoryCB,java.lang.Object,*,General callbacks for overlay crafting. onGUI_Closed and on_CraftMatrixChanged.
dx,NetworkAcceptThread,java.lang.Thread,*,*
dy,BlockClay,gv,*,*
dz,ItemSaddle,gm,*,*
e,NBTTagLong,ia,*,*
ea,Packet32EntityLook,gj,*,*
