Real Name,Type,Parent Class,Readable Name,Description
a,(Ljava/io/DataInput;)V,bz,readTagContents,"Read the actual data contents of the tag, implemented in NBT extension classes"
a,(Ljava/io/DataInput;)V,ad,readTagContents,"Read the actual data contents of the tag, implemented in NBT extension classes"
b,(Ljava/io/DataInput;)Lia;,ia,readTag,"Reads and returns a tag from the given DataInput, or the End tag if no tag could be read."
c,()Ljava/lang/String;,ia,getKey,"Gets the key corresponding to the tag, or an empty string if none set."
m,(Ljava/lang/String;)Lia;,ia,setKey,Sets the key for this tag and returns this for convenience.
a,(Lia;)V,es,setTag,Adds the provided tag to the end of the list. There is no check to verify this tag is of the same type as any previous tag.
b,()I,es,tagCount,Returns the number of tags in the list.
b,(F)F,ic,cos,cos looked up in the sin table with the appropriate offset
a,(Ljava/lang/String;)Z,ad,hasKey,Returns whether the given string has been previously stored as a key in the map.
a,(Ljava/lang/String;D)V,ad,setDouble,Stores a new NBTTagDouble with the given double value into the map with the given string key.
i,()Z,ek,canSmelt,"Returns true if the furnace can smelt an item, i.e. has a source item, destination stack isn't full, etc."
a_,(Lff;III)Z,ao,tryToCreatePortal,"Checks to see if this location is valid to create a portal and will return True if it does. Args: world, x, y, z"
c,(Lbn;)Z,el,isVecInXY,Checks if the specified vector is within the XY dimensions of the bounding box. Args: Vec3D
d,(Lff;III)Lel;,kv,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,kn,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,jy,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,ja,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,ik,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,hv,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,go,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,hs,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,gv,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,et,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,dn,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,do,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,em,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,df,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
d,(Lff;III)Lel;,bo,getCollisionBoundingBoxFromPool,Returns a bounding box from the pool of bounding boxes (this means this box can change after the pool has been cleared to be reused)
